"Notes"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"17 weeks"	"17"	"3rd month"	"03"	"2015"	"2015"	49	52	942.31
	"17 weeks"	"17"	"3rd month"	"03"	"2016"	"2016"	53	56	946.43
	"17 weeks"	"17"	"3rd month"	"03"	"2017"	"2017"	44	49	897.96
	"17 weeks"	"17"	"3rd month"	"03"	"2018"	"2018"	44	47	936.17
"Total"	"17 weeks"	"17"	"3rd month"	"03"			191	204	936.27
	"17 weeks"	"17"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"4th month"	"04"	"2015"	"2015"	12	12	1000.00 (Unreliable)
	"17 weeks"	"17"	"4th month"	"04"	"2016"	"2016"	13	14	928.57 (Unreliable)
	"17 weeks"	"17"	"4th month"	"04"	"2017"	"2017"	20	21	952.38
	"17 weeks"	"17"	"4th month"	"04"	"2018"	"2018"	17	18	944.44 (Unreliable)
"Total"	"17 weeks"	"17"	"4th month"	"04"			62	65	953.85
	"17 weeks"	"17"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"5th month"	"05"	"2015"	"2015"	0	0	0.00
	"17 weeks"	"17"	"5th month"	"05"	"2016"	"2016"	0	0	0.00
	"17 weeks"	"17"	"5th month"	"05"	"2017"	"2017"	0	0	0.00
	"17 weeks"	"17"	"5th month"	"05"	"2018"	"2018"	0	0	0.00
"Total"	"17 weeks"	"17"	"5th month"	"05"			0	0	0.00
	"17 weeks"	"17"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"6th month"	"06"	"2015"	"2015"	0	0	0.00
	"17 weeks"	"17"	"6th month"	"06"	"2016"	"2016"	0	0	0.00
	"17 weeks"	"17"	"6th month"	"06"	"2017"	"2017"	0	0	0.00
	"17 weeks"	"17"	"6th month"	"06"	"2018"	"2018"	0	0	0.00
"Total"	"17 weeks"	"17"	"6th month"	"06"			0	0	0.00
	"17 weeks"	"17"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"7th month"	"07"	"2015"	"2015"	0	0	0.00
	"17 weeks"	"17"	"7th month"	"07"	"2016"	"2016"	0	0	0.00
	"17 weeks"	"17"	"7th month"	"07"	"2017"	"2017"	0	0	0.00
	"17 weeks"	"17"	"7th month"	"07"	"2018"	"2018"	0	0	0.00
"Total"	"17 weeks"	"17"	"7th month"	"07"			0	0	0.00
	"17 weeks"	"17"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"17 weeks"	"17"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"17 weeks"	"17"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"17 weeks"	"17"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"17 weeks"	"17"	"8th month"	"08"			0	0	0.00
	"17 weeks"	"17"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"17 weeks"	"17"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"17 weeks"	"17"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"17 weeks"	"17"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"17 weeks"	"17"	"9th month"	"09"			0	0	0.00
	"17 weeks"	"17"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"17 weeks"	"17"	"10th month"	"10"	"2015"	"2015"	0	0	0.00
	"17 weeks"	"17"	"10th month"	"10"	"2016"	"2016"	0	0	0.00
	"17 weeks"	"17"	"10th month"	"10"	"2017"	"2017"	0	0	0.00
	"17 weeks"	"17"	"10th month"	"10"	"2018"	"2018"	0	0	0.00
"Total"	"17 weeks"	"17"	"10th month"	"10"			0	0	0.00
"Total"	"17 weeks"	"17"					778	848	917.45
	"18 weeks"	"18"	"No prenatal care"	"00"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"No prenatal care"	"00"	"2015"	"2015"	50	60	833.33
	"18 weeks"	"18"	"No prenatal care"	"00"	"2016"	"2016"	39	49	795.92
	"18 weeks"	"18"	"No prenatal care"	"00"	"2017"	"2017"	54	59	915.25
	"18 weeks"	"18"	"No prenatal care"	"00"	"2018"	"2018"	51	54	944.44
"Total"	"18 weeks"	"18"	"No prenatal care"	"00"			194	222	873.87
	"18 weeks"	"18"	"1st month"	"01"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"1st month"	"01"	"2015"	"2015"	38	40	950.00
	"18 weeks"	"18"	"1st month"	"01"	"2016"	"2016"	36	45	800.00
	"18 weeks"	"18"	"1st month"	"01"	"2017"	"2017"	38	47	808.51
	"18 weeks"	"18"	"1st month"	"01"	"2018"	"2018"	30	34	882.35
"Total"	"18 weeks"	"18"	"1st month"	"01"			143	166	861.45
	"18 weeks"	"18"	"2nd month"	"02"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"2nd month"	"02"	"2015"	"2015"	127	132	962.12
	"18 weeks"	"18"	"2nd month"	"02"	"2016"	"2016"	149	163	914.11
	"18 weeks"	"18"	"2nd month"	"02"	"2017"	"2017"	129	138	934.78
	"18 weeks"	"18"	"2nd month"	"02"	"2018"	"2018"	145	149	973.15
"Total"	"18 weeks"	"18"	"2nd month"	"02"			550	582	945.02
	"18 weeks"	"18"	"3rd month"	"03"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"3rd month"	"03"	"2015"	"2015"	94	94	1000.00
	"18 weeks"	"18"	"3rd month"	"03"	"2016"	"2016"	91	100	910.00
	"18 weeks"	"18"	"3rd month"	"03"	"2017"	"2017"	89	95	936.84
	"18 weeks"	"18"	"3rd month"	"03"	"2018"	"2018"	97	106	915.09
"Total"	"18 weeks"	"18"	"3rd month"	"03"			371	395	939.24
	"18 weeks"	"18"	"4th month"	"04"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"4th month"	"04"	"2015"	"2015"	30	31	967.74
	"18 weeks"	"18"	"4th month"	"04"	"2016"	"2016"	17	19	894.74 (Unreliable)
	"18 weeks"	"18"	"4th month"	"04"	"2017"	"2017"	35	39	897.44
	"18 weeks"	"18"	"4th month"	"04"	"2018"	"2018"	32	34	941.18
"Total"	"18 weeks"	"18"	"4th month"	"04"			114	123	926.83
	"18 weeks"	"18"	"5th month"	"05"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"5th month"	"05"	"2015"	"2015"	0	0	0.00
	"18 weeks"	"18"	"5th month"	"05"	"2016"	"2016"	1	1	1000.00 (Unreliable)
	"18 weeks"	"18"	"5th month"	"05"	"2017"	"2017"	3	3	1000.00 (Unreliable)
	"18 weeks"	"18"	"5th month"	"05"	"2018"	"2018"	1	1	1000.00 (Unreliable)
"Total"	"18 weeks"	"18"	"5th month"	"05"			5	5	1000.00 (Unreliable)
	"18 weeks"	"18"	"6th month"	"06"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"6th month"	"06"	"2015"	"2015"	0	0	0.00
	"18 weeks"	"18"	"6th month"	"06"	"2016"	"2016"	0	0	0.00
	"18 weeks"	"18"	"6th month"	"06"	"2017"	"2017"	0	0	0.00
	"18 weeks"	"18"	"6th month"	"06"	"2018"	"2018"	0	0	0.00
"Total"	"18 weeks"	"18"	"6th month"	"06"			0	0	0.00
	"18 weeks"	"18"	"7th month"	"07"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"7th month"	"07"	"2015"	"2015"	0	0	0.00
	"18 weeks"	"18"	"7th month"	"07"	"2016"	"2016"	0	0	0.00
	"18 weeks"	"18"	"7th month"	"07"	"2017"	"2017"	0	0	0.00
	"18 weeks"	"18"	"7th month"	"07"	"2018"	"2018"	0	0	0.00
"Total"	"18 weeks"	"18"	"7th month"	"07"			0	0	0.00
	"18 weeks"	"18"	"8th month"	"08"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"8th month"	"08"	"2015"	"2015"	0	0	0.00
	"18 weeks"	"18"	"8th month"	"08"	"2016"	"2016"	0	0	0.00
	"18 weeks"	"18"	"8th month"	"08"	"2017"	"2017"	0	0	0.00
	"18 weeks"	"18"	"8th month"	"08"	"2018"	"2018"	0	0	0.00
"Total"	"18 weeks"	"18"	"8th month"	"08"			0	0	0.00
	"18 weeks"	"18"	"9th month"	"09"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2012"	"2012"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2013"	"2013"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2014"	"2014"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"9th month"	"09"	"2015"	"2015"	0	0	0.00
	"18 weeks"	"18"	"9th month"	"09"	"2016"	"2016"	0	0	0.00
	"18 weeks"	"18"	"9th month"	"09"	"2017"	"2017"	0	0	0.00
	"18 weeks"	"18"	"9th month"	"09"	"2018"	"2018"	0	0	0.00
"Total"	"18 weeks"	"18"	"9th month"	"09"			0	0	0.00
	"18 weeks"	"18"	"10th month"	"10"	"2007"	"2007"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"10th month"	"10"	"2008"	"2008"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"10th month"	"10"	"2009"	"2009"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"10th month"	"10"	"2010"	"2010"	Not Applicable	Not Applicable	Not Applicable
	"18 weeks"	"18"	"10th month"	"10"	"2011"	"2011"	Not Applicable	Not Applicable	Not Applicable
