"Notes"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"NICU Admission"	"NICU Admission Code"	"Year"	"Year Code"	Births
	"No prenatal care"	"00"	"35 weeks"	"35"	"No"	"2"	"2019"	"2019"	1835
"Total"	"No prenatal care"	"00"	"35 weeks"	"35"	"No"	"2"			7240
"Total"	"No prenatal care"	"00"	"35 weeks"	"35"					11660
	"No prenatal care"	"00"	"36 weeks"	"36"	"Yes"	"1"	"2016"	"2016"	894
	"No prenatal care"	"00"	"36 weeks"	"36"	"Yes"	"1"	"2017"	"2017"	992
	"No prenatal care"	"00"	"36 weeks"	"36"	"Yes"	"1"	"2018"	"2018"	1086
	"No prenatal care"	"00"	"36 weeks"	"36"	"Yes"	"1"	"2019"	"2019"	1123
"Total"	"No prenatal care"	"00"	"36 weeks"	"36"	"Yes"	"1"			4095
	"No prenatal care"	"00"	"36 weeks"	"36"	"No"	"2"	"2016"	"2016"	3264
	"No prenatal care"	"00"	"36 weeks"	"36"	"No"	"2"	"2017"	"2017"	3467
	"No prenatal care"	"00"	"36 weeks"	"36"	"No"	"2"	"2018"	"2018"	3400
	"No prenatal care"	"00"	"36 weeks"	"36"	"No"	"2"	"2019"	"2019"	3445
"Total"	"No prenatal care"	"00"	"36 weeks"	"36"	"No"	"2"			13576
"Total"	"No prenatal care"	"00"	"36 weeks"	"36"					17671
	"No prenatal care"	"00"	"37 weeks"	"37"	"Yes"	"1"	"2016"	"2016"	818
	"No prenatal care"	"00"	"37 weeks"	"37"	"Yes"	"1"	"2017"	"2017"	975
	"No prenatal care"	"00"	"37 weeks"	"37"	"Yes"	"1"	"2018"	"2018"	1101
	"No prenatal care"	"00"	"37 weeks"	"37"	"Yes"	"1"	"2019"	"2019"	1077
"Total"	"No prenatal care"	"00"	"37 weeks"	"37"	"Yes"	"1"			3971
	"No prenatal care"	"00"	"37 weeks"	"37"	"No"	"2"	"2016"	"2016"	5731
	"No prenatal care"	"00"	"37 weeks"	"37"	"No"	"2"	"2017"	"2017"	6240
	"No prenatal care"	"00"	"37 weeks"	"37"	"No"	"2"	"2018"	"2018"	6055
	"No prenatal care"	"00"	"37 weeks"	"37"	"No"	"2"	"2019"	"2019"	6760
"Total"	"No prenatal care"	"00"	"37 weeks"	"37"	"No"	"2"			24786
"Total"	"No prenatal care"	"00"	"37 weeks"	"37"					28757
	"No prenatal care"	"00"	"38 weeks"	"38"	"Yes"	"1"	"2016"	"2016"	855
	"No prenatal care"	"00"	"38 weeks"	"38"	"Yes"	"1"	"2017"	"2017"	1023
	"No prenatal care"	"00"	"38 weeks"	"38"	"Yes"	"1"	"2018"	"2018"	1035
	"No prenatal care"	"00"	"38 weeks"	"38"	"Yes"	"1"	"2019"	"2019"	1105
"Total"	"No prenatal care"	"00"	"38 weeks"	"38"	"Yes"	"1"			4018
	"No prenatal care"	"00"	"38 weeks"	"38"	"No"	"2"	"2016"	"2016"	8812
	"No prenatal care"	"00"	"38 weeks"	"38"	"No"	"2"	"2017"	"2017"	9745
	"No prenatal care"	"00"	"38 weeks"	"38"	"No"	"2"	"2018"	"2018"	9198
	"No prenatal care"	"00"	"38 weeks"	"38"	"No"	"2"	"2019"	"2019"	9982
"Total"	"No prenatal care"	"00"	"38 weeks"	"38"	"No"	"2"			37737
"Total"	"No prenatal care"	"00"	"38 weeks"	"38"					41755
	"No prenatal care"	"00"	"39 weeks"	"39"	"Yes"	"1"	"2016"	"2016"	919
	"No prenatal care"	"00"	"39 weeks"	"39"	"Yes"	"1"	"2017"	"2017"	975
	"No prenatal care"	"00"	"39 weeks"	"39"	"Yes"	"1"	"2018"	"2018"	1055
	"No prenatal care"	"00"	"39 weeks"	"39"	"Yes"	"1"	"2019"	"2019"	1104
"Total"	"No prenatal care"	"00"	"39 weeks"	"39"	"Yes"	"1"			4053
	"No prenatal care"	"00"	"39 weeks"	"39"	"No"	"2"	"2016"	"2016"	14048
	"No prenatal care"	"00"	"39 weeks"	"39"	"No"	"2"	"2017"	"2017"	15339
	"No prenatal care"	"00"	"39 weeks"	"39"	"No"	"2"	"2018"	"2018"	14444
	"No prenatal care"	"00"	"39 weeks"	"39"	"No"	"2"	"2019"	"2019"	16181
"Total"	"No prenatal care"	"00"	"39 weeks"	"39"	"No"	"2"			60012
"Total"	"No prenatal care"	"00"	"39 weeks"	"39"					64065
	"No prenatal care"	"00"	"40 weeks"	"40"	"Yes"	"1"	"2016"	"2016"	668
	"No prenatal care"	"00"	"40 weeks"	"40"	"Yes"	"1"	"2017"	"2017"	699
	"No prenatal care"	"00"	"40 weeks"	"40"	"Yes"	"1"	"2018"	"2018"	737
	"No prenatal care"	"00"	"40 weeks"	"40"	"Yes"	"1"	"2019"	"2019"	780
"Total"	"No prenatal care"	"00"	"40 weeks"	"40"	"Yes"	"1"			2884
	"No prenatal care"	"00"	"40 weeks"	"40"	"No"	"2"	"2016"	"2016"	9165
	"No prenatal care"	"00"	"40 weeks"	"40"	"No"	"2"	"2017"	"2017"	9478
	"No prenatal care"	"00"	"40 weeks"	"40"	"No"	"2"	"2018"	"2018"	9133
	"No prenatal care"	"00"	"40 weeks"	"40"	"No"	"2"	"2019"	"2019"	9429
"Total"	"No prenatal care"	"00"	"40 weeks"	"40"	"No"	"2"			37205
"Total"	"No prenatal care"	"00"	"40 weeks"	"40"					40089
	"No prenatal care"	"00"	"41 weeks"	"41"	"Yes"	"1"	"2016"	"2016"	201
	"No prenatal care"	"00"	"41 weeks"	"41"	"Yes"	"1"	"2017"	"2017"	207
	"No prenatal care"	"00"	"41 weeks"	"41"	"Yes"	"1"	"2018"	"2018"	213
	"No prenatal care"	"00"	"41 weeks"	"41"	"Yes"	"1"	"2019"	"2019"	225
"Total"	"No prenatal care"	"00"	"41 weeks"	"41"	"Yes"	"1"			846
	"No prenatal care"	"00"	"41 weeks"	"41"	"No"	"2"	"2016"	"2016"	2625
	"No prenatal care"	"00"	"41 weeks"	"41"	"No"	"2"	"2017"	"2017"	2842
	"No prenatal care"	"00"	"41 weeks"	"41"	"No"	"2"	"2018"	"2018"	2539
	"No prenatal care"	"00"	"41 weeks"	"41"	"No"	"2"	"2019"	"2019"	2618
"Total"	"No prenatal care"	"00"	"41 weeks"	"41"	"No"	"2"			10624
"Total"	"No prenatal care"	"00"	"41 weeks"	"41"					11470
	"No prenatal care"	"00"	"42 weeks"	"42"	"Yes"	"1"	"2016"	"2016"	37
	"No prenatal care"	"00"	"42 weeks"	"42"	"Yes"	"1"	"2017"	"2017"	53
	"No prenatal care"	"00"	"42 weeks"	"42"	"Yes"	"1"	"2018"	"2018"	50
	"No prenatal care"	"00"	"42 weeks"	"42"	"Yes"	"1"	"2019"	"2019"	62
"Total"	"No prenatal care"	"00"	"42 weeks"	"42"	"Yes"	"1"			202
	"No prenatal care"	"00"	"42 weeks"	"42"	"No"	"2"	"2016"	"2016"	446
	"No prenatal care"	"00"	"42 weeks"	"42"	"No"	"2"	"2017"	"2017"	406
	"No prenatal care"	"00"	"42 weeks"	"42"	"No"	"2"	"2018"	"2018"	416
	"No prenatal care"	"00"	"42 weeks"	"42"	"No"	"2"	"2019"	"2019"	450
"Total"	"No prenatal care"	"00"	"42 weeks"	"42"	"No"	"2"			1718
"Total"	"No prenatal care"	"00"	"42 weeks"	"42"					1920
	"No prenatal care"	"00"	"43 weeks"	"43"	"Yes"	"1"	"2016"	"2016"	8
	"No prenatal care"	"00"	"43 weeks"	"43"	"Yes"	"1"	"2017"	"2017"	15
	"No prenatal care"	"00"	"43 weeks"	"43"	"Yes"	"1"	"2018"	"2018"	7
	"No prenatal care"	"00"	"43 weeks"	"43"	"Yes"	"1"	"2019"	"2019"	11
"Total"	"No prenatal care"	"00"	"43 weeks"	"43"	"Yes"	"1"			41
	"No prenatal care"	"00"	"43 weeks"	"43"	"No"	"2"	"2016"	"2016"	71
	"No prenatal care"	"00"	"43 weeks"	"43"	"No"	"2"	"2017"	"2017"	70
	"No prenatal care"	"00"	"43 weeks"	"43"	"No"	"2"	"2018"	"2018"	85
	"No prenatal care"	"00"	"43 weeks"	"43"	"No"	"2"	"2019"	"2019"	78
"Total"	"No prenatal care"	"00"	"43 weeks"	"43"	"No"	"2"			304
"Total"	"No prenatal care"	"00"	"43 weeks"	"43"					345
	"No prenatal care"	"00"	"44 weeks"	"44"	"Yes"	"1"	"2016"	"2016"	2
	"No prenatal care"	"00"	"44 weeks"	"44"	"Yes"	"1"	"2017"	"2017"	3
	"No prenatal care"	"00"	"44 weeks"	"44"	"Yes"	"1"	"2018"	"2018"	2
	"No prenatal care"	"00"	"44 weeks"	"44"	"Yes"	"1"	"2019"	"2019"	4
"Total"	"No prenatal care"	"00"	"44 weeks"	"44"	"Yes"	"1"			11
	"No prenatal care"	"00"	"44 weeks"	"44"	"No"	"2"	"2016"	"2016"	16
	"No prenatal care"	"00"	"44 weeks"	"44"	"No"	"2"	"2017"	"2017"	21
	"No prenatal care"	"00"	"44 weeks"	"44"	"No"	"2"	"2018"	"2018"	19
	"No prenatal care"	"00"	"44 weeks"	"44"	"No"	"2"	"2019"	"2019"	16
"Total"	"No prenatal care"	"00"	"44 weeks"	"44"	"No"	"2"			72
