"Notes"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	"Year"	"Year Code"	"OE Gestational Age Weekly"	"OE Gestational Age Weekly Code"	"Five Minute APGAR Score"	"Five Minute APGAR Score Code"	Births
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"4"	"4"	12
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"5"	"5"	22
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"6"	"6"	36
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"7"	"7"	91
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"8"	"8"	276
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"9"	"9"	718
	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"	"10"	"10"	8
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"33 weeks"	"33"			1184
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"0"	"0"	1
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"1"	"1"	9
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"2"	"2"	7
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"3"	"3"	14
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"4"	"4"	15
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"5"	"5"	33
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"6"	"6"	59
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"7"	"7"	108
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"8"	"8"	364
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"9"	"9"	1364
	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"	"10"	"10"	18
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"34 weeks"	"34"			1992
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"0"	"0"	3
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"1"	"1"	7
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"2"	"2"	12
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"3"	"3"	9
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"4"	"4"	16
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"5"	"5"	26
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"6"	"6"	53
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"7"	"7"	95
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"8"	"8"	440
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"9"	"9"	1991
	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"	"10"	"10"	33
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"35 weeks"	"35"			2685
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"0"	"0"	6
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"1"	"1"	12
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"2"	"2"	13
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"3"	"3"	11
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"4"	"4"	12
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"5"	"5"	30
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"6"	"6"	46
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"7"	"7"	110
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"8"	"8"	577
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"9"	"9"	3179
	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"	"10"	"10"	70
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"36 weeks"	"36"			4066
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"0"	"0"	6
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"1"	"1"	10
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"2"	"2"	17
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"3"	"3"	9
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"4"	"4"	19
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"5"	"5"	38
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"6"	"6"	53
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"7"	"7"	135
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"8"	"8"	756
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"9"	"9"	5272
	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"	"10"	"10"	109
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"37 weeks"	"37"			6424
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"0"	"0"	9
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"1"	"1"	8
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"2"	"2"	10
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"3"	"3"	16
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"4"	"4"	19
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"5"	"5"	32
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"6"	"6"	48
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"7"	"7"	161
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"8"	"8"	998
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"9"	"9"	7993
	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"	"10"	"10"	193
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"38 weeks"	"38"			9487
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"0"	"0"	19
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"1"	"1"	11
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"2"	"2"	10
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"3"	"3"	12
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"4"	"4"	24
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"5"	"5"	38
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"6"	"6"	68
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"7"	"7"	186
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"8"	"8"	1375
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"9"	"9"	12731
	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"	"10"	"10"	265
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"39 weeks"	"39"			14739
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"0"	"0"	14
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"1"	"1"	8
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"2"	"2"	11
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"3"	"3"	14
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"4"	"4"	19
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"5"	"5"	35
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"6"	"6"	48
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"7"	"7"	168
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"8"	"8"	961
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"9"	"9"	7977
	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"	"10"	"10"	223
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"40 weeks"	"40"			9478
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"0"	"0"	3
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"1"	"1"	4
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"2"	"2"	8
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"3"	"3"	3
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"4"	"4"	10
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"5"	"5"	11
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"6"	"6"	29
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"7"	"7"	43
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"8"	"8"	319
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"9"	"9"	2233
	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"	"10"	"10"	79
"Total"	"No prenatal care"	"00"	"2016"	"2016"	"41 weeks"	"41"			2742
	"No prenatal care"	"00"	"2016"	"2016"	"42 weeks"	"42"	"0"	"0"	0
