Category,Indicator,SubIndicator,Year,SampleSize,Prevalence,CI,State
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,763,31.8,(28.6-35.3),Alabama
Postpartum Family Planning,Least effective contraceptive methods,,2017,848,16.0,(13.6-18.6),Alabama
Postpartum Family Planning,Least effective contraceptive methods,,2018,774,19.2,(16.5-22.2),Alabama
Postpartum Family Planning,Least effective contraceptive methods,,2019,763,18.7,(16.2-21.6),Alabama
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,868,36.0,(33.0-39.2),Alabama
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,795,36.6,(33.4-39.9),Alabama
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,791,35.4,(32.3-38.7),Alabama
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,858,59.5,(56.7-62.2),Alabama
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,786,59.2,(56.5-61.8),Alabama
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,761,62.1,(59.3-64.8),Alabama
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,858,19.0,(16.5-21.8),Alabama
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,786,24.0,(21.3-26.9),Alabama
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,761,21.7,(19.0-24.6),Alabama
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,858,21.0,(18.4-23.8),Alabama
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,786,16.5,(14.1-19.3),Alabama
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,761,16.1,(13.7-18.8),Alabama
Health Insurance Status for Prenatal Care,Private insurance,,2017,848,51.3,(48.8-53.7),Alabama
Health Insurance Status for Prenatal Care,Private insurance,,2018,783,53.4,(50.9-55.8),Alabama
Health Insurance Status for Prenatal Care,Private insurance,,2019,754,55.8,(53.3-58.4),Alabama
Health Insurance Status for Prenatal Care,Medicaid,,2017,848,45.9,(43.4-48.5),Alabama
Health Insurance Status for Prenatal Care,Medicaid,,2018,783,44.4,(42.0-46.8),Alabama
Health Insurance Status for Prenatal Care,Medicaid,,2019,754,41.6,(39.0-44.2),Alabama
Health Insurance Status for Prenatal Care,No insurance,,2017,848,2.2,(1.4-3.6),Alabama
Health Insurance Status for Prenatal Care,No insurance,,2018,783,1.8,(1.1-3.1),Alabama
Health Insurance Status for Prenatal Care,No insurance,,2019,754,2.4,(1.5-3.7),Alabama
Health Insurance Status Postpartum,Private insurance,,2017,862,54.7,(52.0-57.4),Alabama
Health Insurance Status Postpartum,Private insurance,,2018,794,51.8,(49.4-54.2),Alabama
Health Insurance Status Postpartum,Private insurance,,2019,763,54.1,(51.4-56.8),Alabama
Health Insurance Status Postpartum,Medicaid,,2017,862,28.6,(25.8-31.7),Alabama
Health Insurance Status Postpartum,Medicaid,,2018,794,33.0,(30.1-36.0),Alabama
Health Insurance Status Postpartum,Medicaid,,2019,763,29.8,(27.0-32.9),Alabama
Health Insurance Status Postpartum,No insurance,,2017,862,16.6,(14.3-19.3),Alabama
Health Insurance Status Postpartum,No insurance,,2018,794,15.2,(12.9-17.8),Alabama
Health Insurance Status Postpartum,No insurance,,2019,763,16.0,(13.6-18.8),Alabama
Infant Sleep Practices,Baby most often laid on back to sleep,,2017,830,72.1,(68.8-75.3),Alabama
Infant Sleep Practices,Baby most often laid on back to sleep,,2018,754,75.3,(71.9-78.4),Alabama
Infant Sleep Practices,Baby most often laid on back to sleep,,2019,750,72.0,(68.6-75.1),Alabama
Breastfeeding Practices,Ever breastfed,,2017,840,78.0,(74.9-80.8),Alabama
Breastfeeding Practices,Ever breastfed,,2018,776,78.6,(75.4-81.5),Alabama
Breastfeeding Practices,Ever breastfed,,2019,759,77.8,(74.7-80.7),Alabama
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2017,836,50.1,(46.7-53.6),Alabama
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2018,771,50.4,(46.8-53.9),Alabama
Breastfeeding Practices,Any breastfeeding at 8 weeks,,2019,763,51.2,(47.7-54.7),Alabama
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2016,1165,40.5,(37.0-44.0),Alaska
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2017,1041,40.2,(36.6-43.9),Alaska
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2018,1006,43.9,(40.4-47.5),Alaska
Nutrition,Multivitamin use >=4 times a week during the month before pregnancy,,2019,1065,41.3,(37.9-44.8),Alaska
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2016,1144,2.3,(1.5-3.5),Alaska
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2017,1011,2.8,(1.7-4.7),Alaska
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2018,979,3.4,(2.2-5.1),Alaska
Pre-pregnancy Weight,Underweight (Body Mass Index [BMI]<18.5 kg/m2),,2019,1041,1.8,(1.1-3.0),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2016,1144,23.4,(20.5-26.6),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2017,1011,24.9,(21.7-28.3),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2018,979,25.9,(22.8-29.3),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9 kg/m2),,2019,1041,28.8,(25.7-32.1),Alaska
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2016,1144,24.6,(21.7-27.8),Alaska
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2017,1011,26.2,(23.1-29.7),Alaska
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2018,979,22.2,(19.4-25.4),Alaska
Pre-pregnancy Weight,Obese (BMI>=30 kg/m2),,2019,1041,25.1,(22.2-28.3),Alaska
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2016,1158,25.7,(22.9-28.8),Alaska
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2017,1032,22.9,(20.2-25.9),Alaska
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2018,990,22.1,(19.4-25.1),Alaska
Substance Use,Any cigarette smoking,During the 3 months before pregnancy,2019,1061,20.9,(18.5-23.6),Alaska
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2016,1160,11.0,(9.2-13.1),Alaska
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2017,1033,12.3,(10.3-14.7),Alaska
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2018,993,10.2,(8.4-12.4),Alaska
Substance Use,Any cigarette smoking,During the last 3 months of pregnancy,2019,1062,10.2,(8.5-12.2),Alaska
Substance Use,Any cigarette smoking,Postpartum,2016,1158,14.8,(12.7-17.1),Alaska
Substance Use,Any cigarette smoking,Postpartum,2017,1031,14.4,(12.2-17.0),Alaska
Substance Use,Any cigarette smoking,Postpartum,2018,993,12.1,(10.1-14.5),Alaska
Substance Use,Any cigarette smoking,Postpartum,2019,1062,12.9,(11.1-15.1),Alaska
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2016,1156,5.3,(3.8-7.3),Alaska
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2017,1031,2.8,(1.8-4.6),Alaska
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2018,1001,4.2,(2.9-6.0),Alaska
Substance Use,Any e-cigarette use,During the 3 months before pregnancy,2019,1056,4.6,(3.3-6.5),Alaska
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2016,1156,1.1,(0.6-2.1),Alaska
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2017,1031,0.9,(0.3-2.1),Alaska
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2018,1001,1.0,(0.5-2.2),Alaska
Substance Use,Any e-cigarette use,During the last 3 months of pregnancy,2019,1054,0.9,(0.4-2.0),Alaska
Substance Use,Hookah use in the last 2 years,,2016,1147,4.0,(2.7-5.9),Alaska
Substance Use,Hookah use in the last 2 years,,2017,1025,4.2,(2.8-6.2),Alaska
Substance Use,Hookah use in the last 2 years,,2018,990,2.3,(1.4-3.7),Alaska
Substance Use,Hookah use in the last 2 years,,2019,1052,3.3,(2.2-5.0),Alaska
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2016,1152,2.8,(1.9-4.1),Alaska
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2017,1020,3.9,(2.6-5.7),Alaska
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2018,995,4.5,(3.2-6.2),Alaska
Substance Use,Heavy drinking (>=8 drinks a week) during the 3 months before pregnancy,,2019,1043,3.9,(2.8-5.5),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2016,1148,2.7,(1.9-3.9),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1019,4.0,(2.8-5.6),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2018,989,5.2,(3.8-7.2),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1038,3.7,(2.8-4.9),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2016,1142,2.2,(1.5-3.4),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2017,1020,2.9,(1.9-4.2),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2018,986,3.6,(2.4-5.3),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy by a husband or partner and/or an ex-husband or partner,,2019,1041,2.3,(1.6-3.3),Alaska
Depression,Self-reported depression in the 3 months before pregnancy,,2016,1172,12.0,(10.0-14.4),Alaska
Depression,Self-reported depression in the 3 months before pregnancy,,2017,1042,13.5,(11.1-16.3),Alaska
Depression,Self-reported depression in the 3 months before pregnancy,,2018,1010,12.3,(10.1-14.9),Alaska
Depression,Self-reported depression in the 3 months before pregnancy,,2019,1072,14.0,(11.8-16.5),Alaska
Depression,Self-reported depression during pregnancy,,2016,1165,13.2,(11.1-15.8),Alaska
Depression,Self-reported depression during pregnancy,,2017,1031,13.2,(10.8-15.9),Alaska
Depression,Self-reported depression during pregnancy,,2018,996,14.6,(12.2-17.4),Alaska
Depression,Self-reported depression during pregnancy,,2019,1060,13.8,(11.7-16.3),Alaska
Depression,Self-reported postpartum depressive symptoms,,2016,1128,14.1,(11.7-16.8),Alaska
Depression,Self-reported postpartum depressive symptoms,,2017,1018,13.4,(11.1-16.2),Alaska
Depression,Self-reported postpartum depressive symptoms,,2018,974,14.8,(12.4-17.5),Alaska
Depression,Self-reported postpartum depressive symptoms,,2019,1033,12.2,(10.1-14.8),Alaska
Health Care Services,Health care visit in the 12 months before pregnancy,,2016,1163,65.4,(62.1-68.6),Alaska
Health Care Services,Health care visit in the 12 months before pregnancy,,2017,1032,67.2,(63.6-70.5),Alaska
Health Care Services,Health care visit in the 12 months before pregnancy,,2018,998,66.1,(62.6-69.4),Alaska
Health Care Services,Health care visit in the 12 months before pregnancy,,2019,1063,67.4,(64.1-70.5),Alaska
Health Care Services,Began prenatal care in 1st trimester,,2016,1142,84.7,(81.9-87.1),Alaska
Health Care Services,Began prenatal care in 1st trimester,,2017,1014,85.7,(82.9-88.2),Alaska
Health Care Services,Began prenatal care in 1st trimester,,2018,978,83.2,(80.2-85.8),Alaska
Health Care Services,Began prenatal care in 1st trimester,,2019,1032,85.9,(83.3-88.2),Alaska
Health Care Services,Had a flu shot in the 12 months before birth,,2016,1143,57.6,(53.9-61.1),Alaska
Health Care Services,Had a flu shot in the 12 months before birth,,2017,1015,58.9,(55.1-62.6),Alaska
Health Care Services,Had a flu shot in the 12 months before birth,,2018,978,60.9,(57.3-64.5),Alaska
Health Care Services,Had a flu shot in the 12 months before birth,,2019,1016,62.9,(59.4-66.3),Alaska
Health Care Services,Had maternal postpartum checkup,,2016,1137,86.4,(83.9-88.6),Alaska
Health Care Services,Had maternal postpartum checkup,,2017,1023,87.6,(85.1-89.8),Alaska
Health Care Services,Had maternal postpartum checkup,,2018,978,89.0,(86.6-91.1),Alaska
Health Care Services,Had maternal postpartum checkup,,2019,1039,88.3,(85.9-90.4),Alaska
Pregnancy Intention,Mistimed,,2016,1153,17.2,(14.6-20.2),Alaska
Pregnancy Intention,Mistimed,,2017,1030,16.6,(14.0-19.6),Alaska
Pregnancy Intention,Mistimed,,2018,989,13.9,(11.6-16.7),Alaska
Pregnancy Intention,Mistimed,,2019,1056,16.8,(14.2-19.7),Alaska
Pregnancy Intention,Unwanted pregnancy,,2016,1153,4.8,(3.5-6.5),Alaska
Pregnancy Intention,Unwanted pregnancy,,2017,1030,5.2,(3.7-7.2),Alaska
Pregnancy Intention,Unwanted pregnancy,,2018,989,6.1,(4.6-8.1),Alaska
Pregnancy Intention,Unwanted pregnancy,,2019,1056,6.3,(4.9-8.2),Alaska
Pregnancy Intention,Unsure whether wanted pregnancy,,2016,1153,16.5,(14.1-19.1),Alaska
Pregnancy Intention,Unsure whether wanted pregnancy,,2017,1030,19.7,(16.9-22.7),Alaska
Pregnancy Intention,Unsure whether wanted pregnancy,,2018,989,21.3,(18.5-24.3),Alaska
Pregnancy Intention,Unsure whether wanted pregnancy,,2019,1056,17.8,(15.4-20.5),Alaska
Pregnancy Intention,Intended pregnancy,,2016,1153,61.5,(58.0-64.9),Alaska
Pregnancy Intention,Intended pregnancy,,2017,1030,58.5,(54.8-62.2),Alaska
Pregnancy Intention,Intended pregnancy,,2018,989,58.7,(55.1-62.2),Alaska
Pregnancy Intention,Intended pregnancy,,2019,1056,59.1,(55.6-62.4),Alaska
Postpartum Family Planning,Use of any postpartum contraception,,2016,1118,79.9,(76.9-82.6),Alaska
Postpartum Family Planning,Use of any postpartum contraception,,2017,1004,74.8,(71.3-77.9),Alaska
Postpartum Family Planning,Use of any postpartum contraception,,2018,964,74.8,(71.4-77.9),Alaska
Postpartum Family Planning,Use of any postpartum contraception,,2019,1022,77.8,(74.7-80.6),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2016,1118,12.6,(10.3-15.3),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2017,1004,10.1,(8.0-12.6),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2018,964,10.4,(8.4-12.9),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Male or female sterilization,2019,1022,11.8,(9.6-14.3),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2016,1118,23.8,(20.9-27.1),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2017,1004,23.5,(20.5-26.8),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2018,964,23.2,(20.2-26.4),Alaska
Postpartum Family Planning,Highly effective contraceptive methods,Long acting reversible contraceptive method,2019,1022,26.0,(23.0-29.3),Alaska
Postpartum Family Planning,Moderately effective contraceptive methods,,2016,1118,20.4,(17.6-23.5),Alaska
Postpartum Family Planning,Moderately effective contraceptive methods,,2017,1004,18.9,(16.1-22.2),Alaska
Postpartum Family Planning,Moderately effective contraceptive methods,,2018,964,19.4,(16.7-22.5),Alaska
Postpartum Family Planning,Moderately effective contraceptive methods,,2019,1022,17.9,(15.3-20.8),Alaska
Postpartum Family Planning,Least effective contraceptive methods,,2016,1118,23.0,(20.0-26.3),Alaska
Postpartum Family Planning,Least effective contraceptive methods,,2017,1004,22.3,(19.2-25.7),Alaska
Postpartum Family Planning,Least effective contraceptive methods,,2018,964,21.7,(18.8-25.0),Alaska
Postpartum Family Planning,Least effective contraceptive methods,,2019,1022,22.1,(19.2-25.3),Alaska
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2016,1166,47.7,(44.2-51.3),Alaska
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2017,1035,45.7,(42.0-49.5),Alaska
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2018,998,52.1,(48.4-55.7),Alaska
Oral Health,Teeth cleaned during pregnancy by a dentist or dental hygienist,,2019,1060,54.8,(51.3-58.2),Alaska
Health Insurance Status One Month Before Pregnancy,Private insurance,,2016,1143,59.1,(55.8-62.3),Alaska
Health Insurance Status One Month Before Pregnancy,Private insurance,,2017,1010,61.8,(58.4-65.1),Alaska
Health Insurance Status One Month Before Pregnancy,Private insurance,,2018,988,60.5,(57.1-63.7),Alaska
Health Insurance Status One Month Before Pregnancy,Private insurance,,2019,1056,60.3,(57.1-63.5),Alaska
Health Insurance Status One Month Before Pregnancy,Medicaid,,2016,1143,23.2,(20.6-26.1),Alaska
Health Insurance Status One Month Before Pregnancy,Medicaid,,2017,1010,22.9,(20.3-25.7),Alaska
Health Insurance Status One Month Before Pregnancy,Medicaid,,2018,988,27.4,(24.6-30.5),Alaska
Health Insurance Status One Month Before Pregnancy,Medicaid,,2019,1056,28.7,(25.9-31.7),Alaska
Health Insurance Status One Month Before Pregnancy,No insurance,,2016,1143,17.7,(15.2-20.4),Alaska
Health Insurance Status One Month Before Pregnancy,No insurance,,2017,1010,15.3,(12.8-18.2),Alaska
Health Insurance Status One Month Before Pregnancy,No insurance,,2018,988,12.1,(10.0-14.6),Alaska
Health Insurance Status One Month Before Pregnancy,No insurance,,2019,1056,11.0,(9.0-13.3),Alaska
Health Insurance Status for Prenatal Care,Private insurance,,2016,1110,57.1,(53.7-60.4),Alaska
Health Insurance Status for Prenatal Care,Private insurance,,2017,985,61.3,(57.9-64.6),Alaska
Health Insurance Status for Prenatal Care,Private insurance,,2018,902,61.5,(58.0-64.8),Alaska
Health Insurance Status for Prenatal Care,Private insurance,,2019,958,59.1,(55.7-62.5),Alaska
Health Insurance Status for Prenatal Care,Medicaid,,2016,1110,38.6,(35.3-42.0),Alaska
Health Insurance Status for Prenatal Care,Medicaid,,2017,985,33.9,(30.7-37.3),Alaska
Health Insurance Status for Prenatal Care,Medicaid,,2018,902,34.9,(31.5-38.4),Alaska
Health Insurance Status for Prenatal Care,Medicaid,,2019,958,37.5,(34.2-41.0),Alaska
Health Insurance Status for Prenatal Care,No insurance,,2016,1110,4.3,(3.2-5.8),Alaska
Health Insurance Status for Prenatal Care,No insurance,,2017,985,4.8,(3.5-6.4),Alaska
Health Insurance Status for Prenatal Care,No insurance,,2018,902,3.7,(2.7-5.0),Alaska
Health Insurance Status for Prenatal Care,No insurance,,2019,958,3.3,(2.4-4.7),Alaska
Health Insurance Status Postpartum,Private insurance,,2016,1145,55.6,(52.2-59.0),Alaska
