Category,Indicator,Year,SampleSize,Prevalence,CI,State
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,868,15.7,(13.3-18.3),Alabama
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,855,16.5,(14.1-19.2),Alabama
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,865,82.5,(79.8-84.9),Alabama
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,844,82.2,(79.5-84.7),Alabama
Health Care Services,Talked to provider about improving health before pregnancy,2014,870,24.8,(22.0-27.7),Alabama
Health Care Services,Talked to provider about improving health before pregnancy,2015,858,25.7,(22.8-28.7),Alabama
Health Care Services,Began prenatal care in 1st trimester,2014,855,79.4,(76.5-82.0),Alabama
Health Care Services,Began prenatal care in 1st trimester,2015,843,80.5,(77.8-83.0),Alabama
Health Care Services,Took childbirth class,2014,854,18.5,(16.0-21.2),Alabama
Health Care Services,Took childbirth class,2015,849,20.3,(17.7-23.1),Alabama
Health Care Services,Had home visitor during pregnancy,2014,855,3.0,(2.1-4.4),Alabama
Health Care Services,Had home visitor during pregnancy,2015,851,4.3,(3.1-5.9),Alabama
Health Care Services,Had flu shot before or during pregnancy,2014,845,41.8,(38.7-45.1),Alabama
Health Care Services,Had flu shot before or during pregnancy,2015,823,46.8,(43.4-50.1),Alabama
Health Care Services,Had maternal postpartum checkup,2014,863,89.8,(87.6-91.7),Alabama
Health Care Services,Had maternal postpartum checkup,2015,842,90.8,(88.6-92.7),Alabama
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,869,52.3,(49.1-55.5),Alabama
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,859,53.5,(50.3-56.7),Alabama
Oral Health,Teeth cleaned during pregnancy,2014,853,41.2,(38.1-44.4),Alabama
Oral Health,Teeth cleaned during pregnancy,2015,847,40.6,(37.5-43.7),Alabama
Oral Health,Had dental insurance during pregnancy,2014,848,57.2,(54.1-60.1),Alabama
Oral Health,Had dental insurance during pregnancy,2015,843,55.7,(52.8-58.6),Alabama
Pre-pregnancy Health Insurance Status,Private insurance,2014,841,59.1,(56.3-61.8),Alabama
Pre-pregnancy Health Insurance Status,Private insurance,2015,818,60.4,(57.8-63.0),Alabama
Pre-pregnancy Health Insurance Status,Medicaid,2014,841,16.4,(14.1-19.0),Alabama
Pre-pregnancy Health Insurance Status,Medicaid,2015,818,20.2,(17.7-23.0),Alabama
Pre-pregnancy Health Insurance Status,No insurance,2014,841,24.5,(21.8-27.4),Alabama
Pre-pregnancy Health Insurance Status,No insurance,2015,818,19.4,(16.9-22.1),Alabama
Health Insurance Status During Pregnancy,Private insurance,2014,831,50.1,(47.8-52.4),Alabama
Health Insurance Status During Pregnancy,Private insurance,2015,823,51.7,(49.5-54.0),Alabama
Health Insurance Status During Pregnancy,Medicaid,2014,831,46.7,(44.2-49.1),Alabama
Health Insurance Status During Pregnancy,Medicaid,2015,823,45.3,(42.9-47.7),Alabama
Health Insurance Status During Pregnancy,No insurance,2014,865,3.3,(2.3-4.8),Alabama
Health Insurance Status During Pregnancy,No insurance,2015,848,2.9,(2.0-4.2),Alabama
Health Insurance Status Postpartum,Private insurance,2014,805,56.9,(54.2-59.6),Alabama
Health Insurance Status Postpartum,Private insurance,2015,806,56.3,(53.8-58.7),Alabama
Health Insurance Status Postpartum,Medicaid,2014,805,19.8,(17.2-22.6),Alabama
Health Insurance Status Postpartum,Medicaid,2015,806,25.7,(23.0-28.7),Alabama
Health Insurance Status Postpartum,No insurance,2014,875,21.3,(18.8-24.1),Alabama
Health Insurance Status Postpartum,No insurance,2015,851,17.1,(14.8-19.6),Alabama
Infant Sleep Practices,Baby most often laid on back to sleep,2014,847,69.5,(66.3-72.6),Alabama
Infant Sleep Practices,Baby most often laid on back to sleep,2015,829,71.3,(68.0-74.3),Alabama
Breastfeeding Practices,Ever breastfed,2014,849,77.0,(74.0-79.7),Alabama
Breastfeeding Practices,Ever breastfed,2015,840,77.6,(74.7-80.3),Alabama
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,846,45.3,(42.1-48.6),Alabama
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,834,48.2,(45.0-51.5),Alabama
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,906,40.1,(36.5-43.9),Alaska
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1315,39.9,(36.7-43.3),Alaska
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2014,1206,39.6,(36.3-43.0),Alaska
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,1226,40.4,(37.0-43.8),Alaska
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,907,28.1,(24.8-31.7),Alaska
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1310,29.0,(26.0-32.2),Alaska
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2014,1213,27.9,(24.9-31.1),Alaska
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,1221,28.9,(25.9-32.2),Alaska
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,907,48.9,(45.1-52.6),Alaska
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1305,58.4,(55.1-61.7),Alaska
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2014,1205,58.6,(55.2-62.0),Alaska
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,1217,59.0,(55.6-62.3),Alaska
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,875,3.1,(2.0-4.9),Alaska
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,1284,3.9,(2.8-5.6),Alaska
Pre-pregnancy Weight,Underweight (BMI<18.5),2014,1166,2.9,(1.9-4.4),Alaska
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,1193,3.7,(2.5-5.3),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,875,26.4,(23.1-29.9),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,1284,26.0,(23.1-29.0),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2014,1166,26.5,(23.6-29.7),Alaska
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,1193,24.4,(21.5-27.5),Alaska
Pre-pregnancy Weight,Obese (BMI >30),2012,875,22.9,(19.9-26.2),Alaska
Pre-pregnancy Weight,Obese (BMI >30),2013,1284,22.2,(19.5-25.1),Alaska
Pre-pregnancy Weight,Obese (BMI >30),2014,1166,23.6,(20.8-26.6),Alaska
Pre-pregnancy Weight,Obese (BMI >30),2015,1193,23.0,(20.2-26.1),Alaska
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,891,28.1,(24.9-31.4),Alaska
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1297,27.7,(25.1-30.6),Alaska
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2014,1196,24.1,(21.6-26.9),Alaska
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,1205,25.3,(22.6-28.1),Alaska
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,895,13.1,(11.0-15.6),Alaska
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1296,13.4,(11.5-15.4),Alaska
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2014,1195,13.0,(11.1-15.3),Alaska
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,1209,11.4,(9.7-13.4),Alaska
Substance Use,Any cigarette smoking postpartum,2012,892,18.2,(15.6-21.1),Alaska
Substance Use,Any cigarette smoking postpartum,2013,1298,18.7,(16.4-21.2),Alaska
Substance Use,Any cigarette smoking postpartum,2014,1196,15.2,(13.1-17.6),Alaska
Substance Use,Any cigarette smoking postpartum,2015,1207,15.8,(13.7-18.1),Alaska
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,891,58.9,(55.2-62.6),Alaska
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1297,61.4,(58.1-64.6),Alaska
Substance Use,Any alcohol use during the 3 months before pregnancy,2014,1190,57.7,(54.2-61.1),Alaska
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,1200,57.5,(54.0-60.9),Alaska
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,895,6.6,(5.0-8.7),Alaska
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1296,7.8,(6.1-9.9),Alaska
Substance Use,Any alcohol use during the last 3 months of pregnancy,2014,1192,6.4,(4.8-8.4),Alaska
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,1205,6.8,(5.2-8.9),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,898,3.1,(2.0-4.7),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1299,2.8,(1.9-4.1),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2014,1196,2.5,(1.7-3.6),Alaska
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,1201,3.5,(2.5-4.9),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,896,1.6,(0.9-2.7),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1302,2.8,(1.9-4.0),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2014,1193,2.3,(1.6-3.4),Alaska
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,1203,3.0,(2.1-4.3),Alaska
Depression,Told by a provider had depression before pregnancy,2012,902,8.9,(7.0-11.4),Alaska
Depression,Told by a provider had depression before pregnancy,2013,1289,7.7,(6.1-9.7),Alaska
Depression,Told by a provider had depression before pregnancy,2014,1187,9.9,(8.0-12.2),Alaska
Depression,Told by a provider had depression before pregnancy,2015,1208,8.8,(7.1-11.0),Alaska
Depression,Self-reported postpartum depressive symptoms,2012,882,12.3,(10.0-15.0),Alaska
Depression,Self-reported postpartum depressive symptoms,2013,1285,11.4,(9.4-13.7),Alaska
Depression,Self-reported postpartum depressive symptoms,2014,1161,11.9,(9.9-14.4),Alaska
Depression,Self-reported postpartum depressive symptoms,2015,1189,12.7,(10.6-15.2),Alaska
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,728,33.3,(29.4-37.4),Alaska
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,1040,30.6,(27.2-34.2),Alaska
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2014,956,32.0,(28.5-35.7),Alaska
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,939,33.3,(29.7-37.2),Alaska
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,898,17.3,(14.7-20.2),Alaska
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1302,18.5,(16.1-21.1),Alaska
Pregnancy Intention and Family Planning,Unsure about pregnancy,2014,1192,17.2,(14.9-19.8),Alaska
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,1214,20.4,(17.9-23.2),Alaska
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,887,79.3,(76.1-82.2),Alaska
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2013,1295,79.5,(76.7-82.1),Alaska
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2014,1183,80.9,(78.0-83.5),Alaska
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2015,1199,77.5,(74.5-80.3),Alaska
Health Care Services,Talked to provider about improving health before pregnancy,2012,906,24.7,(21.7-28.0),Alaska
Health Care Services,Talked to provider about improving health before pregnancy,2013,1313,25.5,(22.7-28.6),Alaska
Health Care Services,Talked to provider about improving health before pregnancy,2014,1207,23.6,(20.8-26.7),Alaska
Health Care Services,Talked to provider about improving health before pregnancy,2015,1226,22.6,(19.9-25.6),Alaska
Health Care Services,Began prenatal care in 1st trimester,2012,882,83.0,(80.0-85.7),Alaska
Health Care Services,Began prenatal care in 1st trimester,2013,1275,82.2,(79.5-84.6),Alaska
Health Care Services,Began prenatal care in 1st trimester,2014,1166,83.6,(80.9-86.1),Alaska
Health Care Services,Began prenatal care in 1st trimester,2015,1179,81.0,(78.1-83.6),Alaska
Health Care Services,Took childbirth class,2012,904,26.5,(23.3-29.9),Alaska
Health Care Services,Took childbirth class,2013,1307,27.2,(24.3-30.4),Alaska
Health Care Services,Took childbirth class,2014,1197,26.3,(23.4-29.5),Alaska
Health Care Services,Took childbirth class,2015,1216,24.3,(21.4-27.4),Alaska
Health Care Services,Had home visitor during pregnancy,2012,903,3.8,(2.6-5.4),Alaska
Health Care Services,Had home visitor during pregnancy,2013,1305,5.9,(4.5-7.8),Alaska
Health Care Services,Had home visitor during pregnancy,2014,1196,5.3,(3.9-7.1),Alaska
Health Care Services,Had home visitor during pregnancy,2015,1215,5.9,(4.5-7.8),Alaska
Health Care Services,Had flu shot before or during pregnancy,2012,866,49.3,(45.5-53.1),Alaska
Health Care Services,Had flu shot before or during pregnancy,2013,1268,57.3,(53.9-60.7),Alaska
Health Care Services,Had flu shot before or during pregnancy,2014,1165,61.3,(57.8-64.7),Alaska
Health Care Services,Had flu shot before or during pregnancy,2015,1175,57.0,(53.5-60.5),Alaska
Health Care Services,Had maternal postpartum checkup,2012,885,85.8,(83.0-88.2),Alaska
Health Care Services,Had maternal postpartum checkup,2013,1288,88.3,(86.1-90.1),Alaska
Health Care Services,Had maternal postpartum checkup,2014,1183,86.3,(83.8-88.5),Alaska
Health Care Services,Had maternal postpartum checkup,2015,1199,87.6,(85.3-89.5),Alaska
Oral Health,Teeth cleaned during 12 months before pregnancy,2012,900,57.8,(54.0-61.5),Alaska
Oral Health,Teeth cleaned during 12 months before pregnancy,2013,1305,60.4,(57.1-63.7),Alaska
Oral Health,Teeth cleaned during 12 months before pregnancy,2014,1210,62.5,(59.1-65.7),Alaska
Oral Health,Teeth cleaned during 12 months before pregnancy,2015,1212,61.6,(58.2-64.9),Alaska
Oral Health,Teeth cleaned during pregnancy,2012,895,47.9,(44.1-51.7),Alaska
Oral Health,Teeth cleaned during pregnancy,2013,1296,52.0,(48.6-55.3),Alaska
Oral Health,Teeth cleaned during pregnancy,2014,1195,52.7,(49.2-56.1),Alaska
Oral Health,Teeth cleaned during pregnancy,2015,1207,55.5,(52.0-58.9),Alaska
Oral Health,Had dental insurance during pregnancy,2012,880,77.1,(73.7-80.1),Alaska
Oral Health,Had dental insurance during pregnancy,2013,1278,79.3,(76.4-81.9),Alaska
Oral Health,Had dental insurance during pregnancy,2014,1183,78.5,(75.6-81.2),Alaska
Oral Health,Had dental insurance during pregnancy,2015,1194,80.3,(77.5-83.0),Alaska
Pre-pregnancy Health Insurance Status,Private insurance,2012,888,54.9,(51.3-58.4),Alaska
Pre-pregnancy Health Insurance Status,Private insurance,2013,1304,58.5,(55.4-61.6),Alaska
Pre-pregnancy Health Insurance Status,Private insurance,2014,1187,59.8,(56.6-62.9),Alaska
Pre-pregnancy Health Insurance Status,Private insurance,2015,1203,61.3,(58.2-64.3),Alaska
Pre-pregnancy Health Insurance Status,Medicaid,2012,888,20.3,(17.6-23.4),Alaska
Pre-pregnancy Health Insurance Status,Medicaid,2013,1304,19.5,(17.2-22.1),Alaska
Pre-pregnancy Health Insurance Status,Medicaid,2014,1187,17.6,(15.4-20.1),Alaska
Pre-pregnancy Health Insurance Status,Medicaid,2015,1203,20.0,(17.7-22.5),Alaska
Pre-pregnancy Health Insurance Status,No insurance,2012,888,24.8,(21.7-28.1),Alaska
Pre-pregnancy Health Insurance Status,No insurance,2013,1304,21.9,(19.4-24.7),Alaska
Pre-pregnancy Health Insurance Status,No insurance,2014,1187,22.5,(19.9-25.5),Alaska
Pre-pregnancy Health Insurance Status,No insurance,2015,1203,18.7,(16.2-21.4),Alaska
Health Insurance Status During Pregnancy,Private insurance,2012,889,53.6,(49.9-57.2),Alaska
Health Insurance Status During Pregnancy,Private insurance,2013,1276,57.2,(54.0-60.3),Alaska
Health Insurance Status During Pregnancy,Private insurance,2014,1176,59.6,(56.4-62.7),Alaska
Health Insurance Status During Pregnancy,Private insurance,2015,1179,59.9,(56.7-63.0),Alaska
Health Insurance Status During Pregnancy,Medicaid,2012,889,37.6,(34.1-41.1),Alaska
Health Insurance Status During Pregnancy,Medicaid,2013,1276,35.8,(32.7-39.0),Alaska
Health Insurance Status During Pregnancy,Medicaid,2014,1176,34.1,(31.0-37.3),Alaska
Health Insurance Status During Pregnancy,Medicaid,2015,1179,34.1,(31.1-37.2),Alaska
Health Insurance Status During Pregnancy,No insurance,2012,901,8.8,(6.9-11.1),Alaska
Health Insurance Status During Pregnancy,No insurance,2013,1300,7.5,(6.2-9.2),Alaska
Health Insurance Status During Pregnancy,No insurance,2014,1202,6.7,(5.4-8.3),Alaska
Health Insurance Status During Pregnancy,No insurance,2015,1207,6.7,(5.3-8.5),Alaska
Health Insurance Status Postpartum,Private insurance,2012,867,55.0,(51.4-58.6),Alaska
Health Insurance Status Postpartum,Private insurance,2013,1282,60.0,(56.9-63.0),Alaska
Health Insurance Status Postpartum,Private insurance,2014,1167,58.9,(55.7-62.0),Alaska
Health Insurance Status Postpartum,Private insurance,2015,1183,60.0,(56.9-63.2),Alaska
Health Insurance Status Postpartum,Medicaid,2012,867,23.1,(20.3-26.2),Alaska
Health Insurance Status Postpartum,Medicaid,2013,1282,21.9,(19.5-24.6),Alaska
Health Insurance Status Postpartum,Medicaid,2014,1167,25.2,(22.5-28.1),Alaska
Health Insurance Status Postpartum,Medicaid,2015,1183,29.0,(26.1-32.0),Alaska
Health Insurance Status Postpartum,No insurance,2012,893,21.2,(18.3-24.4),Alaska
Health Insurance Status Postpartum,No insurance,2013,1299,17.8,(15.5-20.3),Alaska
Health Insurance Status Postpartum,No insurance,2014,1187,15.7,(13.4-18.2),Alaska
Health Insurance Status Postpartum,No insurance,2015,1198,10.9,(9.1-13.0),Alaska
Infant Sleep Practices,Baby most often laid on back to sleep,2012,851,76.0,(72.6-79.2),Alaska
Infant Sleep Practices,Baby most often laid on back to sleep,2013,1239,71.0,(67.8-74.1),Alaska
Infant Sleep Practices,Baby most often laid on back to sleep,2014,1134,75.4,(72.2-78.3),Alaska
Infant Sleep Practices,Baby most often laid on back to sleep,2015,1135,77.0,(73.8-79.9),Alaska
Breastfeeding Practices,Ever breastfed,2012,862,94.0,(91.9-95.6),Alaska
Breastfeeding Practices,Ever breastfed,2013,1254,94.2,(92.3-95.6),Alaska
Breastfeeding Practices,Ever breastfed,2014,1153,96.0,(94.2-97.2),Alaska
Breastfeeding Practices,Ever breastfed,2015,1151,95.0,(93.2-96.4),Alaska
Breastfeeding Practices,Any breastfeeding at 8 weeks,2012,848,76.6,(73.2-79.8),Alaska
Breastfeeding Practices,Any breastfeeding at 8 weeks,2013,1242,77.1,(74.2-79.9),Alaska
Breastfeeding Practices,Any breastfeeding at 8 weeks,2014,1147,80.6,(77.7-83.2),Alaska
Breastfeeding Practices,Any breastfeeding at 8 weeks,2015,1146,81.3,(78.4-83.9),Alaska
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2012,810,29.6,(24.7-35.0),Arkansas
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2013,1029,31.1,(26.8-35.8),Arkansas
Nutrition and Exercise,Multivitamin use > 4 days a week during the month before pregnancy,2015,898,33.7,(29.5-38.1),Arkansas
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2012,813,28.9,(24.1-34.2),Arkansas
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2013,1030,28.4,(24.2-33.0),Arkansas
Nutrition and Exercise,Dieting during the 12 months before pregnancy,2015,895,29.4,(25.4-33.7),Arkansas
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2012,812,40.5,(35.2-46.1),Arkansas
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2013,1029,39.5,(34.9-44.4),Arkansas
Nutrition and Exercise,Exercising > 3 days a week during the 12 months before pregnancy,2015,897,44.3,(39.8-48.9),Arkansas
Pre-pregnancy Weight,Underweight (BMI<18.5),2012,778,2.9,(1.7-5.0),Arkansas
Pre-pregnancy Weight,Underweight (BMI<18.5),2013,972,6.2,(4.2-9.1),Arkansas
Pre-pregnancy Weight,Underweight (BMI<18.5),2015,864,3.2,(1.9-5.2),Arkansas
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2012,778,25.5,(20.8-30.8),Arkansas
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2013,972,23.7,(19.7-28.2),Arkansas
Pre-pregnancy Weight,Overweight (BMI 25-29.9),2015,864,22.9,(19.2-27.0),Arkansas
Pre-pregnancy Weight,Obese (BMI >30),2012,778,28.6,(23.8-34.0),Arkansas
Pre-pregnancy Weight,Obese (BMI >30),2013,972,29.1,(24.7-33.8),Arkansas
Pre-pregnancy Weight,Obese (BMI >30),2015,864,26.4,(22.6-30.6),Arkansas
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2012,800,29.1,(24.3-34.4),Arkansas
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2013,1024,31.5,(27.1-36.3),Arkansas
Substance Use,Any cigarette smoking during the 3 months before pregnancy,2015,893,29.4,(25.5-33.7),Arkansas
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2012,802,16.8,(13.1-21.4),Arkansas
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2013,1022,16.6,(13.3-20.6),Arkansas
Substance Use,Any cigarette smoking during the last 3 months of pregnancy,2015,892,15.8,(12.8-19.3),Arkansas
Substance Use,Any cigarette smoking postpartum,2012,801,24.0,(19.5-29.1),Arkansas
Substance Use,Any cigarette smoking postpartum,2013,1025,23.2,(19.3-27.7),Arkansas
Substance Use,Any cigarette smoking postpartum,2015,892,22.0,(18.5-25.9),Arkansas
Substance Use,Any alcohol use during the 3 months before pregnancy,2012,807,49.6,(44.0-55.2),Arkansas
Substance Use,Any alcohol use during the 3 months before pregnancy,2013,1021,50.0,(45.2-54.9),Arkansas
Substance Use,Any alcohol use during the 3 months before pregnancy,2015,884,48.9,(44.4-53.5),Arkansas
Substance Use,Any alcohol use during the last 3 months of pregnancy,2012,808,5.7,(3.6-9.0),Arkansas
Substance Use,Any alcohol use during the last 3 months of pregnancy,2013,1023,5.7,(3.8-8.5),Arkansas
Substance Use,Any alcohol use during the last 3 months of pregnancy,2015,887,5.5,(3.8-7.9),Arkansas
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2012,811,4.4,(2.6-7.4),Arkansas
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2013,1027,5.2,(3.4-7.8),Arkansas
Intimate Partner Violence (IPV),Experienced IPV during the 12 months before pregnancy,2015,893,4.1,(2.6-6.2),Arkansas
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2012,811,4.0,(2.3-6.8),Arkansas
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2013,1025,4.6,(2.9-7.2),Arkansas
Intimate Partner Violence (IPV),Experienced IPV during pregnancy,2015,891,3.0,(1.8-4.9),Arkansas
Depression,Told by a provider had depression before pregnancy,2012,797,11.8,(8.7-16.0),Arkansas
Depression,Told by a provider had depression before pregnancy,2013,1004,12.2,(9.4-15.7),Arkansas
Depression,Told by a provider had depression before pregnancy,2015,885,15.5,(12.5-19.1),Arkansas
Depression,Self-reported postpartum depressive symptoms,2012,804,20.3,(16.2-25.1),Arkansas
Depression,Self-reported postpartum depressive symptoms,2013,1020,20.5,(16.9-24.7),Arkansas
Depression,Self-reported postpartum depressive symptoms,2015,888,22.3,(18.7-26.3),Arkansas
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2012,645,45.6,(39.5-51.8),Arkansas
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2013,819,47.7,(42.5-53.0),Arkansas
Pregnancy Intention and Family Planning,Mistimed/unwanted pregnancy,2015,726,45.3,(40.4-50.4),Arkansas
Pregnancy Intention and Family Planning,Unsure about pregnancy,2012,802,17.6,(13.7-22.2),Arkansas
Pregnancy Intention and Family Planning,Unsure about pregnancy,2013,1020,16.0,(12.7-19.9),Arkansas
Pregnancy Intention and Family Planning,Unsure about pregnancy,2015,891,17.3,(14.1-20.9),Arkansas
Pregnancy Intention and Family Planning,Postpartum contraceptive use,2012,799,85.1,(80.8-88.6),Arkansas
